study_name,specification_name,specification_type,variable_name,correlation,current_accuracy,std_ratio,Glass_delta,n_points,human_std
Privacy,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,PPV,0.5975767767238814,0.7518055555555555,0.7594919344610329,0.5807911253729039,1200,0.028867513459481284
Preferences for redistribution,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Redistribution 1,0.5960562174738336,0.7606244579358196,1.3191127074062001,0.1382151252941454,1153,0.02945000320268802
recommendation systems,persona_summary_2025-08-01,persona_summary,strategization_type1_TikTok,0.5955229631100911,0.7692307692307692,0.8548636083354495,0.46236672804425055,234,0.06537204504606134
Story Beliefs,temperature_zero_2025-07-31,temperature_zero,Achap1_val,0.5949564674524499,0.8544322709163347,0.5656902296578445,0.056107523566959264,251,0.06311944030978031
Preferences for redistribution,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Redistribution 1,0.5942606133061324,0.761925411968777,1.3002083134504594,0.1422802760380908,1153,0.02945000320268802
Story Beliefs,gemini_2025-08-27,gemini,Achap1_val,0.5935641977951697,0.8443924302788844,0.8968512263582863,0.02929047053959611,251,0.06311944030978031
Preferences for redistribution,persona_summary_2025-08-01,persona_summary,Redistribution 1,0.5933343330433304,0.7608412836079792,1.314325048888375,0.1429578011620815,1153,0.02945000320268802
recommendation systems,gemini_2025-08-27,gemini,pref_control_Netflix,0.5922829483047576,0.727891156462585,0.5985024655709072,1.3103424235249028,392,0.050507627227610534
Privacy,persona_summary_2025-08-01,persona_summary,PPV,0.591616510419676,0.7429166666666667,0.7118160732036607,0.6159905875167163,1200,0.028867513459481284
hiring algorithms,gemini_2025-08-27,gemini,Q8,0.5903595641981875,0.7865365365365365,0.8676212058629555,0.23024596377469517,999,0.03163859985841663
Privacy,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,PPV,0.5886831359180755,0.74125,0.7069722697728396,0.6206838491358913,1200,0.028867513459481284
Story Beliefs,empty_persona_temperature_zero_2025-08-18,empty_persona_temperature_zero,Bchap1_val,0.5881254315292723,0.8465537848605578,0.7037249643461377,0.22542577529699298,251,0.06311944030978031
Story Beliefs,temperature_zero_2025-07-31,temperature_zero,Bchap2_val,0.5863446860064528,0.8521314741035857,0.6428730058653174,0.05381534116571722,251,0.06311944030978031
Privacy,with_reasoning_2025-08-01,with_reasoning,PPV,0.5863371724273994,0.7477777777777778,0.7548753633819285,0.593697594825635,1200,0.028867513459481284
Story Beliefs,gemini_2025-08-27,gemini,Bchap1_val,0.5862955882924974,0.839601593625498,0.9783796022831261,0.08181542940421405,251,0.06311944030978031
Privacy,temperature_zero_2025-07-31,temperature_zero,PPV,0.5855811613228474,0.7406944444444444,0.7076297101205571,0.6285059518345162,1200,0.028867513459481284
Privacy,full_persona_without_reasoning_2025-06-18,full_persona_without_reasoning,PPV,0.5847774916373218,0.7406944444444444,0.671239877768915,0.6269415312947911,1200,0.028867513459481284
Story Beliefs,full_persona_without_reasoning_2025-06-20,full_persona_without_reasoning,Achap1_val,0.5838978491913347,0.8536354581673307,0.5692228103244591,0.03189406792089279,251,0.06311944030978031
recommendation systems,gemini_2025-08-27,gemini,pref_control_TikTok,0.5822694037190258,0.7414529914529915,0.8308664664506754,1.149747861255797,234,0.06537204504606134
recommendation systems,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,strategization_type1_TikTok,0.5815340215170707,0.7606837606837606,0.8441622892989751,0.4794914216755193,234,0.06537204504606134
Preferences for redistribution,gemini_2025-08-27,gemini,Redistribution 2,0.580689032851381,0.7840909090909091,1.0836895999440266,0.03722841834932764,1144,0.02956561979945413
hiring algorithms,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Q8,0.5791463614827845,0.7652652652652653,1.1867899582925143,0.032574991659442325,999,0.03163859985841663
Story Beliefs,full_persona_without_reasoning_2025-06-20,full_persona_without_reasoning,Bchap2_val,0.5787814777333444,0.8507569721115538,0.6436925042934744,0.02817237471074045,251,0.06311944030978031
Story Beliefs,with_reasoning_2025-08-01,with_reasoning,Bchap2_val,0.5786422069801009,0.8518824701195219,0.665797904046875,0.06275549103522436,251,0.06311944030978031
Story Beliefs,empty_persona_2025-07-22,empty_persona,Bchap1_val,0.5776630627420919,0.8444721115537849,0.6950843366034068,0.24869637147817045,251,0.06311944030978031
Affective Primes,temperature_zero_2025-07-31,temperature_zero,gratitude,0.5775390405467975,0.8536745406824147,0.9357100225309865,0.33952282671251066,508,0.04436782547080569
Preferences for redistribution,gemini_2025-08-27,gemini,Redistribution 1,0.5765483580591465,0.7465307892454467,1.358528263597337,0.31233908215980877,1153,0.02945000320268802
hiring algorithms,temperature_zero_2025-07-31,temperature_zero,Q8,0.5742428338748414,0.7730230230230231,1.0425232911693232,0.2672629997513342,999,0.03163859985841663
hiring algorithms,full_persona_without_reasoning_2025-07-03,full_persona_without_reasoning,Q8,0.5722285253579706,0.7757757757757757,1.0394594623382187,0.2798487919833917,999,0.03163859985841663
recommendation systems,gemini_2025-08-27,gemini,strategization_type2_TikTok,0.5705695266645283,0.7478632478632479,0.8534569390444188,0.5043471961494308,234,0.06537204504606134
Story Beliefs,temperature_zero_2025-07-31,temperature_zero,Bchap1_val,0.570429813197989,0.8400996015936255,0.7384225901567916,0.25801327683935005,251,0.06311944030978031
Story Beliefs,persona_summary_2025-08-01,persona_summary,Bchap1_val,0.5695644022391313,0.8467131474103585,0.6958684802218796,0.18226466953078632,251,0.06311944030978031
Affective Primes,persona_summary_2025-08-01,persona_summary,gratitude,0.5668959593258451,0.8600995188101488,0.884050814050813,0.09652032242949946,508,0.04436782547080569
Preferences for redistribution,deepseek_2025-08-25,deepseek,Redistribution 1,0.5657504230965965,0.7352558542931483,1.4078672110335493,0.19038455984144537,1153,0.02945000320268802
hiring algorithms,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Q8,0.5650823661084531,0.7615115115115115,1.1208284157072863,0.30131867284984226,999,0.03163859985841663
Story Beliefs,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Bchap2_val,0.5643536546220089,0.8490637450199203,0.5950183129779356,0.0866976484906368,251,0.06311944030978031
hiring algorithms,persona_summary_2025-08-01,persona_summary,Q8,0.5643253054459959,0.7587587587587588,1.1827771938545268,0.020729540146917753,999,0.03163859985841663
hiring algorithms,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Q8,0.5637366875610454,0.7587587587587588,1.1832567203997006,0.02517158446411451,999,0.03163859985841663
Story Beliefs,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Achap1_val,0.5631387179802326,0.8510557768924303,0.5545207419083267,0.06118453846049084,251,0.06311944030978031
Affective Primes,full_persona_without_reasoning_2025-06-18,full_persona_without_reasoning,gratitude,0.5627083759877642,0.8545220909886264,0.9196526285166247,0.30998134579967407,508,0.04436782547080569
Affective Primes,with_reasoning_2025-08-01,with_reasoning,gratitude,0.5616432171584402,0.854248687664042,0.9266134366001914,0.283843261305367,508,0.04436782547080569
Story Beliefs,full_persona_without_reasoning_2025-06-20,full_persona_without_reasoning,Bchap1_val,0.5615642215670462,0.8432270916334661,0.7225486330179131,0.2229123775716515,251,0.06311944030978031
hiring algorithms,deepseek_2025-08-25,deepseek,Q8,0.5612140354053059,0.7667667667667668,1.1636418158607782,0.03405567309850802,999,0.03163859985841663
recommendation systems,centaur_empty_persona_2025-09-18,centaur_empty_persona,strategization_type1_TikTok,0.5604979689297429,0.7478632478632479,0.8271865186624425,0.505178462122422,234,0.06537204504606134
recommendation systems,full_persona_without_reasoning_2025-07-22,full_persona_without_reasoning,strategization_type1_TikTok,0.5604979689297427,0.7478632478632479,0.8271865186624425,0.505178462122422,234,0.06537204504606134
hiring algorithms,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Q8,0.5600234091015458,0.7555055055055055,1.193166509421476,0.02739260662271305,999,0.03163859985841663
Story Beliefs,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Bchap2_val,0.5597040499675009,0.8483665338645419,0.6046356361703088,0.04474435983470528,251,0.06311944030978031
Story Beliefs,demographics_only_2025-07-31,demographics_only,Bchap2_val,0.5595777148369098,0.8478286852589642,0.598646477199104,0.07439949110916858,251,0.06311944030978031
hiring algorithms,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Q8,0.5582903095394824,0.762012012012012,1.161235687665213,0.0007403407195328474,999,0.03163859985841663
hiring algorithms,demographics_only_2025-07-31,demographics_only,Q8,0.5578528720088944,0.7605105105105106,1.1649091250424062,0.003701703597663908,999,0.03163859985841663
Story Beliefs,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Bchap1_val,0.5573401513781755,0.8510756972111554,0.5970118549564691,0.09992922680408763,251,0.06311944030978031
Story Beliefs,demographics_only_2025-07-31,demographics_only,Bchap1_val,0.5564004848926137,0.8431274900398407,0.6738195070073926,0.22247903313624764,251,0.06311944030978031
Preferences for redistribution,deepseek_2025-08-25,deepseek,Redistribution 2,0.5552978309978324,0.7768793706293706,1.0773404477740094,0.025032901993513403,1144,0.02956561979945413
Affective Primes,full_persona_without_reasoning_2025-06-18,full_persona_without_reasoning,lack of control,0.5552520276410043,0.9071627521830774,0.9324045815710617,0.29445233769021534,492,0.045083481733371615
Affective Primes,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,gratitude,0.5552405920867682,0.8485892388451444,0.9341185782493105,0.3588541183697579,508,0.04436782547080569
hiring algorithms,with_reasoning_2025-08-01,with_reasoning,Q8,0.5552223776651976,0.761011011011011,1.0716262492230508,0.32649025731395676,999,0.03163859985841663
recommendation systems,temperature_zero_2025-07-31,temperature_zero,strategization_type1_TikTok,0.5534655460567866,0.7435897435897436,0.8212714554391024,0.5137408089380562,234,0.06537204504606134
Story Beliefs,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Achap1_val,0.5515283053504154,0.8485358565737052,0.6083588357296807,0.09082215531759198,251,0.06311944030978031
Story Beliefs,persona_summary_2025-08-01,persona_summary,Bchap2_val,0.5510342422143558,0.8463346613545817,0.6240819489292895,0.04081941598955496,251,0.06311944030978031
Story Beliefs,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Achap1_val,0.5503572416091715,0.8470816733067729,0.588989744277288,0.09160323453198205,251,0.06311944030978031
Story Beliefs,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Bchap2_val,0.549056620141191,0.8480876494023905,0.6731258789259046,0.026427955224007028,251,0.06311944030978031
hiring algorithms,GPT5_2025-08-11,GPT5,Q8,0.5489123933252384,0.7612612612612613,0.8690698222650878,0.4649339718665871,999,0.03163859985841663
Story Beliefs,empty_persona_temperature_zero_2025-08-18,empty_persona_temperature_zero,Bchap2_val,0.5464364438042081,0.8459262948207171,0.6239121509575245,0.08822401554152823,251,0.06311944030978031
Story Beliefs,empty_persona_2025-07-22,empty_persona,Achap1_val,0.5457938623694418,0.8472609561752988,0.64226772926741,0.11182450752672494,251,0.06311944030978031
quantitative intuition,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Q_indiv_mean,0.5449012302965331,0.9223880910388846,0.8202398741168607,0.12093493753375052,1323,0.02749286996141075
Affective Primes,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,gratitude,0.5436300527915713,0.8550962379702537,0.9296345962055064,0.1383140304490419,508,0.04436782547080569
Affective Primes,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,gratitude,0.5434377550651005,0.8572287839020123,0.8963227815418855,0.13014587904457056,508,0.04436782547080569
Affective Primes,temperature_zero_2025-07-31,temperature_zero,lack of control,0.5421768990013096,0.9063629177958447,0.9274884869148519,0.28657039609609364,492,0.045083481733371615
Story Beliefs,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Achap1_val,0.541788054659584,0.8483565737051793,0.5138954462267429,0.060099706218283325,251,0.06311944030978031
Obedient twins,gemini_2025-08-27,gemini,task 2 - S2,0.5415288556271433,0.829004329004329,0.8051288252783299,0.2895084044433922,1001,0.0316069770620507
Obedient twins,GPT5_2025-08-11,GPT5,task 2 - S2,0.5406356579005098,0.8096070596070596,1.011507754649909,0.3200014204077687,1001,0.0316069770620507
Story Beliefs,persona_summary_2025-08-01,persona_summary,Achap1_val,0.5401017594128976,0.8455378486055777,0.5785580757212916,0.10501176104566338,251,0.06311944030978031
Obedient twins,with_reasoning_2025-08-01,with_reasoning,task 2 - S2,0.5397029625388067,0.7986180486180486,1.0409426311651893,0.42725271793764535,1001,0.0316069770620507
Affective Primes,deepseek_2025-08-25,deepseek,gratitude,0.5386002539130296,0.8604002624671916,0.8587278916360652,0.038662583314496686,508,0.04436782547080569
Story Beliefs,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Bchap2_val,0.5374905882777676,0.8464940239043824,0.6256757457859787,0.0006105468203568676,251,0.06311944030978031
Affective Primes,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,gratitude,0.5366472465968875,0.8535651793525809,0.9059632917569104,0.1287845204771598,508,0.04436782547080569
Preferences for redistribution,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Redistribution 2,0.5362763571883695,0.7351398601398602,1.23837312888912,0.16046732047123924,1144,0.02956561979945413
Affective Primes,GPT5_2025-08-11,GPT5,gratitude,0.5359438600528963,0.8624234470691163,0.7719623819311243,0.14702672528047633,508,0.04436782547080569
Story Beliefs,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,Bchap1_val,0.5356965798467842,0.846215139442231,0.6781978473707342,0.1166563220106693,251,0.06311944030978031
Story Beliefs,demographics_only_2025-07-31,demographics_only,Achap1_val,0.535486083935794,0.844113545816733,0.6133045520671113,0.12085031178188912,251,0.06311944030978031
Preferences for redistribution,persona_summary_2025-08-01,persona_summary,Redistribution 2,0.5350915568040941,0.7427884615384616,1.2109860449785639,0.10077347725593822,1144,0.02956561979945413
Preferences for redistribution,persona_summary_temperature_zero_2025-08-17,persona_summary_temperature_zero,Redistribution 2,0.5350490974662172,0.7419143356643356,1.2174255328159374,0.11232712432986752,1144,0.02956561979945413
Story Beliefs,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Bchap2_val,0.534897683891823,0.8468625498007968,0.6062382211782111,0.010248464484557088,251,0.06311944030978031
Affective Primes,with_reasoning_2025-08-01,with_reasoning,lack of control,0.5336962856862837,0.8973459613068353,0.9554997973469883,0.4821314126580955,492,0.045083481733371615
Preferences for redistribution,persona_summary_include_reasoning_2025-08-21,persona_summary_include_reasoning,Redistribution 2,0.5332056808034275,0.7366695804195804,1.2311260311225691,0.16110918975312416,1144,0.02956561979945413
Story Beliefs,empty_persona_2025-07-22,empty_persona,Bchap2_val,0.5320528389483009,0.8457370517928287,0.6271540537731611,0.08730819531099365,251,0.06311944030978031
Story Beliefs,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Bchap1_val,0.5315117942422046,0.8467529880478087,0.6368423247035195,0.1423969814736481,251,0.06311944030978031
Story Beliefs,with_reasoning_2025-08-01,with_reasoning,Achap1_val,0.5310698502196085,0.845906374501992,0.5501798664764508,0.07676272945858671,251,0.06311944030978031
Story Beliefs,persona_summary_include_reasoning_temperature_zero_2025-08-21,persona_summary_include_reasoning_temperature_zero,Achap1_val,0.5292672952420204,0.8486653386454184,0.5235623584746156,0.041831131259513175,251,0.06311944030978031
quantitative intuition,with_reasoning_2025-08-01,with_reasoning,Q_indiv_mean,0.5283467012795321,0.9219366759049299,0.8073713762965745,0.03872897152736121,1323,0.02749286996141075
Affective Primes,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,lack of control,0.5274124269265017,0.8969930931948209,0.9804953031570963,0.4458126621753769,492,0.045083481733371615
Privacy,gemini_2025-08-27,gemini,PPV,0.5267438039016069,0.7354166666666666,0.9158125723114524,0.5549781864674415,1200,0.028867513459481284
Obedient twins,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,task 2 - S2,0.5234768596817371,0.7958707958707959,1.0509259920968927,0.41638739041010864,1001,0.0316069770620507
Story Beliefs,empty_persona_temperature_zero_2025-08-18,empty_persona_temperature_zero,Achap1_val,0.5229405493848961,0.8442729083665339,0.631734796218087,0.0949011245482917,251,0.06311944030978031
quantitative intuition,temperature_zero_2025-07-31,temperature_zero,Q_indiv_mean,0.5222563309309457,0.92022549760645,0.7909153319326135,0.12782422573813734,1323,0.02749286996141075
Obedient twins,temperature_zero_2025-07-31,temperature_zero,task 2 - S2,0.5212795336777458,0.7958707958707959,1.032663441773114,0.4409220009561588,1001,0.0316069770620507
Preferences for redistribution,demographics_only_temperature_zero_2025-08-18,demographics_only_temperature_zero,Redistribution 2,0.5206661144378854,0.7307692307692308,1.2290921897733709,0.15148115052484995,1144,0.02956561979945413
Preferences for redistribution,demographics_only_2025-07-31,demographics_only,Redistribution 2,0.5189984649154085,0.7298951048951049,1.2267448636456217,0.14891367339731024,1144,0.02956561979945413
Story Beliefs,deepseek_2025-08-25,deepseek,Achap1_val,0.5166823157555827,0.83800796812749,0.5999185340971795,0.2328483924673702,251,0.06311944030978031
Story Beliefs,GPT5_2025-08-11,GPT5,Bchap2_val,0.5160742723019465,0.8386653386454184,0.46997039335134283,0.20374819605042996,251,0.06311944030978031
Story Beliefs,GPT5_2025-08-11,GPT5,Achap1_val,0.5159863797491069,0.8423505976095618,0.45791273448179376,0.03211103436933555,251,0.06311944030978031
Story Beliefs,gemini_2025-08-27,gemini,Bchap1_aro,0.5151583371678956,0.8296812749003984,0.8878462073660214,0.3035328451743313,251,0.06311944030978031
quantitative intuition,full_persona_without_reasoning_2025-06-24,full_persona_without_reasoning,Q_indiv_mean,0.5138839066797696,0.9208868732678257,0.7873017837389346,0.0128475915162881,1323,0.02749286996141075
recommendation systems,include_reasoning_temperature_zero_2025-08-20,include_reasoning_temperature_zero,strategization_type1_TikTok,0.5109330989268046,0.717948717948718,0.7828813612588127,0.5651148898318619,234,0.06537204504606134
Obedient twins,full_persona_without_reasoning_2025-06-26,full_persona_without_reasoning,task 2 - S2,0.5101995843680213,0.793040293040293,1.0333534211581517,0.4353140899742047,1001,0.0316069770620507
Story Beliefs,deepseek_2025-08-25,deepseek,Bchap2_val,0.5086960438413677,0.812988047808765,0.6823537559371301,0.523849171865959,251,0.06311944030978031
Affective Primes,GPT5_2025-08-11,GPT5,lack of control,0.5079287345786767,0.9083483890394459,0.9488759014888535,0.016459348623018913,492,0.045083481733371615
Story Beliefs,with_reasoning_2025-08-01,with_reasoning,Bchap1_val,0.5041794595714142,0.8453486055776892,0.6512642764401159,0.08376547936353027,251,0.06311944030978031
quantitative intuition,with_reasoning_2025-08-01,with_reasoning,I_indiv_mean,0.502464929955836,0.9004654493376298,0.9960493829788893,0.6343753942770581,1323,0.02749286996141075
quantitative intuition,GPT5_2025-08-11,GPT5,Q_indiv_mean,0.5023550909646821,0.9139266817838246,0.9317326199545652,0.23321171556739403,1323,0.02749286996141075
Obedient twins,deepseek_2025-08-25,deepseek,task 2 - S2,0.5008223915545764,0.8255078255078255,0.8608585745261629,0.08972657571126925,1001,0.0316069770620507
Story Beliefs,temperature_zero_2025-07-31,temperature_zero,Achap2_val,0.4995166482733995,0.8450099601593626,0.5727025348604068,0.07359887184316366,251,0.06311944030978031
Story Beliefs,with_reasoning_2025-08-01,with_reasoning,Bchap1_aro,0.494801992571634,0.8504980079681275,0.6317603977135,0.05476669827651777,251,0.06311944030978031
Story Beliefs,empty_persona_temperature_zero_2025-08-18,empty_persona_temperature_zero,Achap2_val,0.49425416803529515,0.8424103585657371,0.5873630093265872,0.1021654333747738,251,0.06311944030978031
